osmid,length
670151659,10.313
670151659,34.254
256448779,13.665
"[858863081, 1022821427]",115.521
22841877,16.402
22841877,9.281
164602010,60.04
856288957,20.372
856288957,8.04
435914556,98.93299999999999
858509265,15.264
1055085532,15.701
140087469,20.262999999999998
367660757,399.639
22841849,96.89
"[476925635, 1119522493, 1119522494, 1183379559]",450.13399999999996
436663341,126.045
1055085534,8.927
22975243,121.096
857053158,71.71900000000001
1158123857,82.123
1095429112,13.379000000000001
1286673303,243.374
1055085540,12.004
22975243,113.72999999999999
"[1187537401, 723678010, 476631807]",474.59900000000005
22948481,27.5
22948481,27.5
292598585,111.621
"[435914561, 1065780917]",250.66500000000002
1055085544,19.366
256435606,109.31400000000001
1207947735,6.067
857053158,123.79
146497366,74.97
"[367660752, 216972750, 367660751]",1250.6609999999998
367660754,186.282
857053159,21.213
857053159,14.621
22948482,136.228
22948461,16.078
767835362,136.459
22841300,16.925
1055085545,19.002
106235646,143.967
57008254,29.834000000000003
367660754,179.697
167147679,32.661
476648016,61.271
193155659,141.505
1055593501,357.88300000000004
476647994,18.526
481026282,18.464
481026282,23.927999999999997
367660756,57.462
219085537,10.02
1161009380,39.336
1104927486,12.989
1104927487,68.294
1207408025,45.913
218834776,11.117
"[1303235609, 1218510066]",308.817
256435609,90.803
256435613,84.256
157288930,66.745
436658423,53.115
55081018,87.186
"[216957624, 216957618, 216957620]",117.146
217109906,125.97900000000001
"[1209297336, 218859901, 858354167]",324.534
219085476,155.57999999999998
855392347,69.097
855392347,124.687
53792892,10.953
53792892,59.150000000000006
213850525,106.002
217109903,90.762
"[858452480, 217109898, 1161617886, 858452479]",1220.57
210605011,100.885
1159882231,287.91099999999994
"[209172225, 158330079]",556.064
1232402279,128.613
209172166,32.033
211087055,27.113
211087055,29.363
"[651725251, 197909157]",100.70400000000001
"[198724057, 198724058]",114.84
198730385,151.42999999999998
198724055,6.877
261258202,63.126999999999995
199261930,42.318
"[211087137, 209063130, 211087155, 218697357]",382.06899999999996
22841843,31.464
22841861,188.947
198733123,60.292
22841819,13.242
22841819,82.309
211087058,257.064
250317050,139.76199999999997
250317050,430.308
1101683124,69.762
1002630027,8.966
23027929,46.084
106496673,156.152
22841817,47.504
22841843,15.37
175280634,71.591
22950611,16.068
217278823,52.593
315093239,25.942
227095255,43.226
22841861,188.947
22841891,151.138
"[279403648, 1117961749]",187.64600000000002
22841891,59.765
22841892,55.714
283124029,51.343
22841815,48.266
22950611,91.619
22841817,215.62400000000002
52768440,110.886
209063136,7.234
317534998,191.364
857035791,33.999
22841819,6.911
22841819,130.368
857035791,91.34100000000001
198580673,133.825
209063155,58.877
295695860,337.84200000000004
295695860,333.039
295695877,226.19299999999998
22841354,91.231
199637802,10.873
210718049,46.375
229849149,162.71499999999997
279548176,92.833
"[1187542549, 229849142]",170.147
210718019,74.467
279548176,117.54699999999998
279548176,92.833
208089951,10.571
1160185583,10.223
1037626330,16.635
282484435,77.212
22975244,4.379
211275174,8.632
22841352,80.842
23026419,87.27
"[65486017, 217397129, 23017414]",310.1379999999999
23027952,232.96300000000002
23027952,278.90099999999995
295695877,226.19299999999998
53761712,8.174
53087010,112.695
211275174,46.325
105461812,181.656
22841372,76.737
22974906,88.138
"[991282330, 991282333]",19.929000000000002
"[668784195, 991282332]",65.011
991282329,65.69200000000001
22974907,83.243
125392581,133.87199999999999
22841372,89.506
23017478,25.709
750333105,238.995
158330081,10.626
158330081,42.542
60994047,436.90799999999996
858790452,11.306
118265726,44.048
1010248920,28.816000000000003
"[1208663931, 22840989]",138.317
118265726,44.048
873200063,178.716
"[1192625089, 22841372]",240.012
246580207,9.492
172743112,69.854
"[246580200, 1151920244]",52.300999999999995
23027952,278.90099999999995
23027952,205.783
158252721,178.88500000000002
1151920245,35.35
1151920245,44.534
106359670,56.626
217318316,73.626
817794784,8.293
53091858,86.453
158330081,15.18
158330081,52.598
477069967,155.322
22840890,43.043
290528074,123.095
290528075,47.775
1157870054,8.671
23016236,121.971
1160401290,82.034
"[23016235, 1147910709]",116.815
"[23016235, 23016237]",325.177
51874380,277.45799999999997
1162373432,39.921
"[52768476, 1304305043, 1304305044]",36.336999999999996
197914514,9.487
"[1147910705, 246580202, 1147910708]",139.247
"[23016235, 1147910709]",116.815
22840896,11.078
22840896,38.92
22840815,270.025
1160395243,10.718
53744468,86.814
"[1160395245, 1160395246]",155.28
227095233,61.417
290528074,71.294
290528074,134.218
208588892,210.447
1151920245,27.032
1151920245,34.382
151723529,28.865
53744468,105.99199999999999
290528074,134.218
1187562266,19.344
22840820,33.2
1151920245,38.535
1151920245,36.625
22840820,97.73
1160159582,52.878
295672814,108.129
22840820,173.6
1308765884,8.921
1308765883,17.191000000000003
22840820,97.828
22840820,51.229
60994076,474.79799999999994
198446796,15.01
1003161702,12.003
207872409,67.74799999999999
22972725,135.645
53758999,18.774
229873812,76.188
198439338,12.089
250116182,128.224
131601013,306.656
131601021,13.008000000000001
22840898,107.267
52768503,123.48
178175458,193.459
1161235457,165.191
1160338411,68.178
"[1160338409, 232879054]",142.513
"[232879056, 1160338410]",169.01000000000005
22972725,79.923
238567582,80.436
22972725,135.645
53759088,88.729
211275128,97.47399999999999
218681351,60.67
22841336,93.535
817794784,19.009
22840867,45.809
69731956,48.28
69731956,67.596
53744450,88.534
282484427,234.469
53760091,50.004999999999995
817794784,75.806
1205390822,23.42
211275128,97.47399999999999
211275128,158.591
22972725,18.162
22841173,218.14299999999997
151723530,41.593
282484427,150.291
282484394,123.8
281308015,97.57900000000001
22841173,218.143
53090697,111.048
219798475,114.742
219798475,179.474
53745361,70.176
22841268,68.356
817794783,37.71
53202962,67.693
817794784,67.535
817794783,37.71
22841268,91.982
1190525989,10.928
22841822,179.935
22841822,88.21
69732058,83.659
281308030,64.073
22840963,56.383
22840963,194.542
53089623,61.396
151723530,26.928
151723530,74.31700000000001
22950635,884.863
297855413,29.477
53744748,11.672
22840876,11.404
22840876,54.306999999999995
668641519,84.538
22841339,40.084
53090776,103.88000000000001
151720280,178.161
22841822,28.504
"[671663208, 22841898, 671663207]",468.46899999999994
1165313319,719.9920000000002
217431357,95.28
1126679747,70.834
1126679747,20.275
1126679747,58.138
1207082944,123.902
22840963,68.985
1126679747,61.895
22840963,85.86500000000001
1126679747,110.417
22841830,1526.882
1165313321,121.215
1088755906,20.999
22840963,54.665
239575193,69.477
1285591378,13.495
23028079,12.361
246580191,49.207
218422389,54.552
239575193,80.06
327073023,16.945
22841184,158.656
327073021,51.986999999999995
750336640,218.973
22841167,22.367
22841224,48.394
22841247,56.16
22841203,53.166
53201054,47.212
22841229,70.791
22841229,78.249
249194332,12.404
22841224,9.995
22841224,42.394
215732243,24.754
282054955,13.12
750616736,169.83399999999997
22841224,88.491
22841224,31.868
477069942,92.525
667524682,7.459
22841090,26.785
22841090,142.031
22841204,99.876
22841247,16.929
229873837,42.712
229873837,166.37199999999999
217278881,11.513
229873837,63.812
229873837,166.372
22840921,192.324
22841204,103.506
53153045,194.926
22841204,99.876
22841203,28.576
22841203,25.421
53759709,24.6
783092518,13.381
216506271,244.639
657054226,11.192
817900789,97.98700000000001
1160332074,62.773
22841085,80.888
23152047,125.22299999999998
23152047,123.252
217278881,68.424
"[238836097, 317550180, 317550162, 317550169, 317550171]",401.2309999999999
342557172,100.11600000000001
652398180,68.107
750616736,20.451
"[660944514, 783092516, 216506270]",178.006
1307653552,12.532
23152047,134.29500000000002
229873837,85.895
229873837,65.428
22840885,61.654
22840885,32.396
215732272,49.872
216506288,77.853
170934921,144.28199999999998
817794771,110.234
22841135,75.869
210212220,14.683
22841055,61.911
817794771,26.764
22841055,72.782
22841012,159.677
317550172,36.165
22841232,80.624
22841012,159.677
22841012,278.849
844553908,24.42
"[1298622050, 1298622051, 838145990]",104.43299999999999
210212263,32.267
210212263,141.547
22841046,128.518
22841250,141.115
30995907,46.548
22841085,189.415
22841250,90.71000000000001
22841041,146.856
249194338,11.089
22841055,131.85399999999998
217271036,13.129000000000001
22841135,90.969
215732202,100.93
22841135,43.162
282484393,7.152
666675672,66.497
22841125,342.948
249194329,124.47900000000001
210212242,78.294
149110718,77.09
149110718,75.017
249194329,11.313
215804381,430.75899999999996
22841073,234.479
53153044,65.703
53153046,59.18600000000001
23016142,72.752
210212263,141.547
210212263,195.289
216506278,25.005000000000003
750618845,10.042
750618841,16.867
210212263,195.289
217278806,129.213
254627448,19.495
"[1118862824, 292755674, 292755677]",324.138
22841135,63.872
669739315,87.93
22841135,53.314
53153046,28.708
53153046,75.055
"[22841090, 1193512539]",367.69199999999995
31046776,29.16
31046776,40.838
210212229,132.76
53153047,31.515
53153047,197.918
291949084,125.86699999999999
53153047,15.147
53153047,4.597
291949161,16.445
22841130,95.649
229873833,199.542
229873833,53.178
1118813313,18.94
1120192098,11.891
652398183,12.036
22840837,11.094
743168227,289.051
"[817845816, 215804385, 215804384]",526.242
86918798,45.132
132474363,7.131
86918791,109.53999999999999
22840837,11.094
22841285,435.8910000000001
817845814,148.954
22841894,15.835
22841894,19.643
249734358,24.926
435929058,87.584
817845814,171.649
22841125,159.744
817845814,149.341
106483136,65.914
817845814,161.162
817845814,149.341
22841894,38.009
618570138,24.483
22841894,78.948
1273579298,44.427
1263295277,339.91700000000003
"[1262800262, 1273579295]",343.381
22841894,28.323999999999998
"[215998836, 215998830, 215998831]",64.927
1263655687,11.088
215998837,286.66299999999995
"[60869547, 1263655687]",58.658
22841049,22.695
1271693194,35.173
346586284,82.975
113704571,121.18800000000002
1232449915,1.901
291949156,65.091
218691406,75.667
1184384571,114.795
1187803001,148.751
817845819,12.79
"[817845818, 53013523, 22841271]",571.6219999999998
1184384571,103.558
22841057,125.757
673239113,71.365
1184384570,118.60799999999999
22841267,136.537
206994690,114.391
206994690,178.204
1120261368,8.058
568173105,311.079
"[22841907, 477110147]",394.49499999999995
198565127,72.881
477084498,74.19900000000001
764056156,154.136
"[1309580322, 1151684077, 1093433206, 1093433207]",505.94300000000004
"[1309580312, 790968593, 68336294]",624.072
308720693,841.9550000000002
68017699,11.914
1146956044,6.712
1146956045,49.889
22841267,8.007
1146956045,138.583
