node_id,y,x
245645011,18.4415653,73.8950396
245645101,18.4472028,73.8589186
245645119,18.445849,73.8097633
245645137,18.4574959,73.8118348
245645201,18.4520794,73.8912848
245645250,18.4542419,73.8586747
245645263,18.4562883,73.7992256
245645291,18.4538995,73.8907439
245645325,18.4583933,73.8120339
245645347,18.4579936,73.858105
245645354,18.4595331,73.8908997
245645414,18.459418,73.8108239
245645415,18.459385,73.8110823
245645435,18.4623399,73.8899867
245645445,18.4596299,73.8125845
245645447,18.4624627,73.8580744
245645460,18.4608621,73.8127554
245645471,18.4623345,73.8145189
245645502,18.4631939,73.8894752
245645526,18.4659373,73.8578377
245645531,18.4775209,73.9313551
245645582,18.4823269,73.9292923
245645615,18.4735247,73.8562646
245645635,18.4785558,73.7989323
245645657,18.4784371,73.8240279
245645663,18.4689884,73.86413
245645675,18.4820208,73.8912178
245645691,18.4764258,73.8623696
245645724,18.4770868,73.8571009
245645764,18.4864573,73.8883851
245645780,18.4861527,73.7789902
245645823,18.4786543,73.8615652
245645855,18.4899288,73.8866119
245645885,18.4824469,73.8571677
245645900,18.4898498,73.8317797
245646034,18.4997727,73.8047937
245646149,18.5021609,73.8122489
245646155,18.5021138,73.8136152
245646187,18.5021502,73.8150474
245646227,18.504227,73.8054604
245646239,18.5028109,73.818325
245646246,18.5074606,73.7733174
245646263,18.5063593,73.9126293
245646265,18.5040395,73.8077489
245646346,18.5057057,73.8104268
245646356,18.5043767,73.8036755
245646373,18.5056511,73.802539
245646378,18.5064058,73.8077317
245646388,18.5065704,73.8984342
245646399,18.5058423,73.8159473
245646407,18.5061213,73.8175443
245646410,18.5053094,73.8233974
245646418,18.5094305,73.9159958
245646428,18.5012279,73.8456423
245646449,18.5079515,73.8420102
245646461,18.5080658,73.8428822
245646463,18.4966935,73.8581029
245646476,18.5095215,73.8123046
245646501,18.5022281,73.8762137
245646502,18.5028299,73.8787313
245646505,18.5108461,73.9174159
245646510,18.5019652,73.8751985
245646516,18.5030343,73.8794247
245646521,18.5014307,73.8538607
245646529,18.5013094,73.8546524
245646537,18.5011534,73.8554245
245646551,18.5049443,73.8822856
245646561,18.5110527,73.8294056
245646570,18.506508,73.8843062
245646575,18.5064063,73.8839033
245646583,18.5100416,73.8340633
245646585,18.5129833,73.9160336
245646586,18.5110322,73.8335978
245646593,18.5043937,73.8590363
245646603,18.5128714,73.8288338
245646625,18.5080651,73.8500488
245646630,18.5095523,73.8436096
245646633,18.511035,73.8382277
245646637,18.5070452,73.8786011
245646640,18.5115953,73.8373048
245646642,18.5125965,73.8892136
245646664,18.5112473,73.8432571
245646669,18.5106379,73.8459983
245646675,18.5127725,73.8335529
245646687,18.5114645,73.8450707
245646699,18.5142631,73.8338015
245646702,18.5085515,73.8537032
245646706,18.5153885,73.8289046
245646707,18.5147794,73.8313974
245646714,18.5128013,73.8438536
245646721,18.5138185,73.8447087
245646726,18.5137712,73.8415826
245646747,18.5142923,73.8835382
245646753,18.5139741,73.8810075
245646758,18.5112422,73.8537891
245646763,18.5147426,73.8455485
245646793,18.5107087,73.8683312
245646799,18.5126408,73.8576283
245646815,18.5160393,73.8392602
245646818,18.5144753,73.8523177
245646819,18.5147029,73.8566723
245646821,18.511118,73.8675138
245646825,18.5161515,73.8479629
245646826,18.5145251,73.8537421
245646829,18.5163955,73.8418664
245646838,18.5164029,73.8499846
245646839,18.5146564,73.854369
245646844,18.5153319,73.8563217
245646882,18.5156694,73.8562866
245646884,18.5241008,73.7805732
245646905,18.5190151,73.8431391
245646915,18.5195278,73.849109
245646921,18.507195,73.7841758
245646943,18.51939,73.8496167
245646958,18.5198374,73.8509404
245646965,18.518542,73.8562138
245646976,18.5257298,73.7815431
245646986,18.5211909,73.8467783
245646995,18.5225231,73.8426955
245646996,18.5221442,73.8442394
245647002,18.5262764,73.7886929
245647013,18.5213468,73.8552841
245647019,18.5232123,73.8445656
245647031,18.5184482,73.8834558
245647035,18.5224016,73.8493691
245647040,18.52351,73.8439867
245647055,18.5246803,73.8413694
245647065,18.5242178,73.8438763
245647082,18.5265988,73.8374386
245647083,18.5219205,73.8582903
245647086,18.5214715,73.8774971
245647101,18.5271272,73.836357
245647102,18.5232017,73.8546219
245647108,18.527152,73.8359608
245647109,18.5249008,73.8495243
245647112,18.5216924,73.8970354
245647115,18.5271562,73.837806
245647135,18.5279634,73.8364808
245647141,18.5217659,73.8960913
245647144,18.5233256,73.8582986
245647152,18.5238605,73.8579348
245647168,18.525804,73.8531741
245647184,18.5292886,73.8326835
245647185,18.5264612,73.852555
245647208,18.5272884,73.8511482
245647209,18.5253902,73.8570872
245647215,18.5298473,73.8354164
245647224,18.529697,73.8377588
245647236,18.5261164,73.8566761
245647238,18.5300306,73.8374077
245647245,18.5271589,73.8559837
245647257,18.5231928,73.8875024
245647261,18.5232763,73.8859905
245647268,18.5296261,73.8498519
245647272,18.5317004,73.8287585
245647278,18.5316994,73.8323574
245647282,18.5236363,73.8828581
245647287,18.5280539,73.8575593
245647290,18.5316744,73.8371669
245647293,18.5261441,73.8662008
245647295,18.5240251,73.8816692
245647299,18.5314359,73.8424741
245647313,18.5246718,73.8786464
245647314,18.5250371,73.8935112
245647317,18.5329732,73.8287796
245647320,18.5247144,73.8766752
245647329,18.5279009,73.8633747
245647338,18.5347276,73.8288651
245647339,18.5324344,73.8375671
245647351,18.5265863,73.8970682
245647393,18.5347119,73.8359435
245647411,18.5273473,73.8991814
245647419,18.5274953,73.8994854
245647427,18.5362745,73.8338317
245647434,18.5281428,73.8762043
245647468,18.5298097,73.8632048
245647471,18.5284928,73.8791792
245647484,18.538186,73.7845874
245647493,18.5285141,73.879282
245647497,18.5383784,73.7938662
245647499,18.5285032,73.8823228
245647504,18.528429,73.8837371
245647521,18.5388626,73.793872
245647522,18.5296444,73.9029967
245647540,18.5402657,73.7937992
245647637,18.5426597,73.7900171
245647656,18.5294901,73.8632329
245647676,18.5434006,73.78619
245647681,18.5435572,73.7850649
245647685,18.532749,73.8992249
245647691,18.5336216,73.8788855
245647694,18.5328972,73.8971603
245647703,18.5330296,73.8875017
245647782,18.5470693,73.8171409
245647789,18.5473049,73.8164837
245647817,18.5482621,73.7699955
245647821,18.527345,73.776266
245647867,18.5390186,73.9037093
245647904,18.5394045,73.8855119
245647924,18.5395968,73.8881518
245647925,18.5398877,73.8830461
245647930,18.5510648,73.8049268
245647969,18.5415921,73.8853993
245647981,18.5545354,73.8011384
245648048,18.5527887,73.8567564
245648051,18.5451447,73.8835394
245648065,18.5451921,73.8841136
245648067,18.5555008,73.8167597
245648080,18.556204,73.8181761
245648104,18.5487727,73.8710518
245648105,18.5457372,73.8888933
245648132,18.5560704,73.8625126
245648140,18.5572208,73.7937858
245648151,18.5606155,73.8091826
245648163,18.5473074,73.8862329
245648219,18.5574551,73.8576574
245648240,18.5564496,73.8472089
245648258,18.5518026,73.8839588
245648341,18.5523163,73.8959942
245648367,18.5532061,73.882261
245648368,18.5527046,73.8896784
245648378,18.553309,73.883122
245648379,18.5541306,73.8968038
245648420,18.5542226,73.8953856
245648437,18.5543054,73.8932094
245648500,18.5614261,73.7868758
245648526,18.5580245,73.8948008
245648559,18.5591793,73.8915142
245648580,18.5625664,73.9253084
245648581,18.562723,73.9279372
245648682,18.5646024,73.8940318
247258939,18.4482851,73.8668117
247258946,18.4496439,73.8715024
247279728,18.504926,73.8111604
247431934,18.554987,73.7976283
247637057,18.5490216,73.8510677
247662464,18.467478,73.8186478
247662474,18.4670843,73.8226534
247669350,18.5202733,73.879989
247669392,18.5175482,73.8789406
247669393,18.513602,73.8787976
247669395,18.5182575,73.8796426
247669397,18.519318,73.8761575
247669543,18.5170986,73.877313
247669545,18.5164496,73.8740069
247669701,18.5158876,73.8769722
247669703,18.5147207,73.8769249
247739724,18.5139756,73.8779718
247739725,18.5142064,73.8777194
247739731,18.5155056,73.8756342
247739742,18.516339,73.8713326
247739749,18.5153932,73.8685828
247739752,18.5153778,73.8659635
247739753,18.515387,73.8648179
247739906,18.5226717,73.8674744
247739907,18.5228709,73.8674618
247739909,18.5245439,73.8674502
247739910,18.5254894,73.867448
247740216,18.5237911,73.8698939
